Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.45421284026292E-18,6.69027950659659E-18,0.095,0,0,0,0.734911232956305,0.0165248957618195,-4.33179877395614E-07,-1.49028518302924E-20,0.0167271926720354,2.44102998803428E-20,0.0332509860670055,0,0,0,0,0,0,package://msr_con/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://msr_con/meshes/base_link.STL,,Base_no_wheel-1/base plate-1,global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left,-2.77555756156289E-17,-5.55111512312578E-17,5.25062351154071E-05,0,0,0,0.628243917892436,0.000786474602916463,-1.67633321012694E-20,5.86188351982008E-20,0.000786474602916463,3.17299134096198E-18,0.00129926747138072,0,0,0,0,0,0,package://msr_con/meshes/front_left.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://msr_con/meshes/front_left.STL,,wheel-1,front_left,front,front_left_joint,continuous,-0.151,0.14911,0.0635,3.1416,-1.5708,0,base_link,0,0,-1,50,10,0,0,,,,,,,,
front_right,2.77555756156289E-17,-2.77555756156289E-17,5.25062351154348E-05,0,0,0,0.628243917892436,0.000786474602916463,1.76260556307686E-20,1.00549063349698E-19,0.000786474602916463,1.66410215433059E-18,0.00129926747138072,0,0,0,0,0,0,package://msr_con/meshes/front_right.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://msr_con/meshes/front_right.STL,,wheel-4,front_right,front,front_right_joint,continuous,0.151,0.14911,0.0635,0,-1.5708,0,base_link,0,0,1,50,10,0,0,,,,,,,,
back_left,2.77555756156289E-17,-2.77555756156289E-17,5.25062351154071E-05,0,0,0,0.628243917892436,0.000786474602916463,1.66599345246999E-20,-3.17301516583673E-18,0.000786474602916463,5.86254458607071E-20,0.00129926747138072,0,0,0,0,0,0,package://msr_con/meshes/back_left.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://msr_con/meshes/back_left.STL,,wheel-2,back_left,back,back_left_joint,continuous,-0.151,-0.14911,0.0635,1.5708,0,-1.5708,base_link,0,0,-1,50,10,0,0,,,,,,,,
back_right,-2.77555756156289E-17,5.55111512312578E-17,-5.25062351154348E-05,0,0,0,0.628243917892436,0.000786474602916463,1.66808862800447E-20,-5.8599200809644E-20,0.000786474602916463,-1.37011113349761E-19,0.00129926747138072,0,0,0,0,0,0,package://msr_con/meshes/back_right.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://msr_con/meshes/back_right.STL,,wheel-3,back_right,back,back_right_joint,continuous,0.151,-0.149113167332488,0.0635000000000007,0,-1.5707963267949,0,base_link,0,0,1,50,10,0,0,,,,,,,,
